 /Users/russell/BROWN/RESEARCH/AGU_2021/3_TI_inversion_2021ExploreLVZ_RaylOnly/CA ref per =  -1.0 secs


  level    radius        rho         vpv         vph         vsv         vsh         eta         qmu         qkap

     1         0.0    13088.50    11234.34    11234.34     3621.54     3621.54     1.00000       84.60     1327.70
     2     20000.0    13088.41    11234.28    11234.28     3621.49     3621.49     1.00000       84.60     1327.70
     3     40000.0    13088.15    11234.09    11234.09     3621.36     3621.36     1.00000       84.60     1327.70
     4     60000.0    13087.72    11233.78    11233.78     3621.15     3621.15     1.00000       84.60     1327.70
     5     80000.0    13087.11    11233.34    11233.34     3620.84     3620.84     1.00000       84.60     1327.70
     6    100000.0    13086.32    11232.78    11232.78     3620.45     3620.45     1.00000       84.60     1327.70
     7    120000.0    13085.36    11232.10    11232.10     3619.98     3619.98     1.00000       84.60     1327.70
     8    140000.0    13084.23    11231.29    11231.29     3619.42     3619.42     1.00000       84.60     1327.70
     9    160000.0    13082.93    11230.35    11230.35     3618.77     3618.77     1.00000       84.60     1327.70
    10    180000.0    13081.45    11229.29    11229.29     3618.03     3618.03     1.00000       84.60     1327.70
    11    200000.0    13079.79    11228.11    11228.11     3617.21     3617.21     1.00000       84.60     1327.70
    12    220000.0    13077.96    11226.80    11226.80     3616.30     3616.30     1.00000       84.60     1327.70
    13    240000.0    13075.96    11225.37    11225.37     3615.30     3615.30     1.00000       84.60     1327.70
    14    260000.0    13073.78    11223.81    11223.81     3614.22     3614.22     1.00000       84.60     1327.70
    15    280000.0    13071.43    11222.12    11222.12     3613.05     3613.05     1.00000       84.60     1327.70
    16    300000.0    13068.90    11220.32    11220.32     3611.80     3611.80     1.00000       84.60     1327.70
    17    320000.0    13066.20    11218.38    11218.38     3610.46     3610.46     1.00000       84.60     1327.70
    18    340000.0    13063.33    11216.33    11216.33     3609.03     3609.03     1.00000       84.60     1327.70
    19    360000.0    13060.28    11214.15    11214.15     3607.51     3607.51     1.00000       84.60     1327.70
    20    380000.0    13057.06    11211.84    11211.84     3605.91     3605.91     1.00000       84.60     1327.70
    21    400000.0    13053.66    11209.41    11209.41     3604.23     3604.23     1.00000       84.60     1327.70
